id,code,name,user_id
1,BUC,Bucata,1
2,KG,Kilogram,1
3,L,Litru,1
4,M,Metru,1
5,GR,Gram,1
6,CUT,Cutie,1
7,PAC,Pachet,1
8,PUN,Punga,1
9,SET,Set,1
10,MP,Metru patrat,1
11,MC,Metru cub,1
12,MM,Milimetru,1
13,CM,Centimetru,1
14,TON,Tona,1
15,PER,Pereche,1
16,SAC,Sac,1
17,ML,Mililitru,1
18,KWH,Kilowatt ora,1
19,ORA,Ora,1
20,MIN,Minut,1
21,ZI,Ziua,1
22,LUNI,Luni de lucru,1
23,DOZ,Doze,1
24,SERV,Servicii,1
