id,county_id,siruta_code,name,longitude,latitude,google_maps_url
51,25,102614,Dragomiresti-Vale,25.93610138,44.47458175,"https://maps.google.com/maps?q=44.4745817480,25.9361013779"
52,25,102632,Zurbaua,25.91405401,44.48965768,"https://maps.google.com/maps?q=44.4896576786,25.9140540052"
53,25,103158,Cozieni,26.30394882,44.47923262,"https://maps.google.com/maps?q=44.4792326206,26.3039488246"
54,25,103149,Ganeasa,26.2842461,44.49205924,"https://maps.google.com/maps?q=44.4920592401,26.2842460979"
55,25,103167,Moara Domneasca,26.25830248,44.49361193,"https://maps.google.com/maps?q=44.4936119294,26.2583024847"
56,25,103176,Piteasca,26.33024667,44.4933887,"https://maps.google.com/maps?q=44.4933887023,26.3302466686"
57,25,103185,sindrilita,26.31940202,44.51404585,"https://maps.google.com/maps?q=44.5140458464,26.3194020191"
58,25,179365,Catelu,26.21974641,44.4029181,"https://maps.google.com/maps?q=44.4029180979,26.2197464114"
59,25,179356,Glina,26.24449634,44.38623101,"https://maps.google.com/maps?q=44.3862310050,26.2444963394"
60,25,179374,Manolache,26.24859827,44.40475293,"https://maps.google.com/maps?q=44.4047529289,26.2485982732"
61,25,103452,Gradistea,26.29778253,44.66231584,"https://maps.google.com/maps?q=44.6623158394,26.2977825269"
62,25,103461,Sitaru,26.33117613,44.6688302,"https://maps.google.com/maps?q=44.6688301954,26.3311761323"
63,25,103522,Gruiu,26.22640458,44.72497289,"https://maps.google.com/maps?q=44.7249728868,26.2264045755"
64,25,103531,Lipia,26.26445452,44.71002675,"https://maps.google.com/maps?q=44.7100267478,26.2644545203"
65,25,103559,Silistea Snagovului,26.17941748,44.73919876,"https://maps.google.com/maps?q=44.7391987570,26.1794174753"
66,25,103540,santu Floresti,26.21504611,44.73171087,"https://maps.google.com/maps?q=44.7317108675,26.2150461144"
67,25,179392,Jilava,26.07754254,44.32863354,"https://maps.google.com/maps?q=44.3286335360,26.0775425409"
68,25,179427,Alunisu,26.05836988,44.33883244,"https://maps.google.com/maps?q=44.3388324415,26.0583698829"
