id,domain,type,user_id
1177,.solutions,generic,1
1178,.song,generic,1
1179,.sony,generic,1
1180,.soy,generic,1
1181,.spa,generic,1
1182,.space,generic,1
1183,.spiegel,generic,1
1184,.sport,generic,1
1185,.spot,generic,1
1186,.spreadbetting,generic,1
1187,.sr,country-code,1
1188,.srl,generic,1
1189,.srt,generic,1
1190,.ss,country-code,1
1191,.st,country-code,1
1192,.stada,generic,1
1193,.staples,generic,1
1194,.star,generic,1
1195,.starhub,generic,1
1196,.statebank,generic,1
1197,.statefarm,generic,1
1198,.statoil,generic,1
1199,.stc,generic,1
1200,.stcgroup,generic,1
1201,.stockholm,generic,1
1202,.storage,generic,1
1203,.store,generic,1
1204,.stream,generic,1
1205,.studio,generic,1
1206,.study,generic,1
1207,.style,generic,1
1208,.su,country-code,1
1209,.sucks,generic,1
1210,.supplies,generic,1
1211,.supply,generic,1
1212,.support,generic,1
1213,.surf,generic,1
1214,.surgery,generic,1
1215,.suzuki,generic,1
1216,.sv,country-code,1
1217,.swatch,generic,1
1218,.swiftcover,generic,1
1219,.swiss,generic,1
1220,.sx,country-code,1
1221,.sy,country-code,1
1222,.sydney,generic,1
1223,.symantec,generic,1
1224,.systems,generic,1
1225,.sz,country-code,1
1226,.tab,generic,1
1227,.taipei,generic,1
1228,.talk,generic,1
1229,.taobao,generic,1
1230,.target,generic,1
1231,.tatamotors,generic,1
1232,.tatar,generic,1
1233,.tattoo,generic,1
1234,.tax,generic,1
1235,.taxi,generic,1
1236,.tc,country-code,1
1237,.tci,generic,1
1238,.td,country-code,1
1239,.tdk,generic,1
1240,.team,generic,1
1241,.tech,generic,1
1242,.technology,generic,1
1243,.tel,sponsored,1
1244,.telecity,generic,1
1245,.telefonica,generic,1
1246,.temasek,generic,1
1247,.tennis,generic,1
1248,.teva,generic,1
1249,.tf,country-code,1
1250,.tg,country-code,1
1251,.th,country-code,1
1252,.thd,generic,1
1253,.theater,generic,1
1254,.theatre,generic,1
1255,.tiaa,generic,1
1256,.tickets,generic,1
1257,.tienda,generic,1
1258,.tiffany,generic,1
1259,.tips,generic,1
1260,.tires,generic,1
1261,.tirol,generic,1
1262,.tj,country-code,1
1263,.tjmaxx,generic,1
1264,.tjx,generic,1
1265,.tk,country-code,1
1266,.tkmaxx,generic,1
1267,.tl,country-code,1
1268,.tm,country-code,1
1269,.tmall,generic,1
1270,.tn,country-code,1
1271,.to,country-code,1
1272,.today,generic,1
1273,.tokyo,generic,1
1274,.tools,generic,1
1275,.top,generic,1
1276,.toray,generic,1
1277,.toshiba,generic,1
1278,.total,generic,1
1279,.tours,generic,1
1280,.town,generic,1
1281,.toyota,generic,1
1282,.toys,generic,1
1283,.tp,country-code,1
1284,.tr,country-code,1
1285,.trade,generic,1
1286,.trading,generic,1
1287,.training,generic,1
1288,.travel,sponsored,1
1289,.travelchannel,generic,1
1290,.travelers,generic,1
1291,.travelersinsurance,generic,1
1292,.trust,generic,1
1293,.trv,generic,1
1294,.tt,country-code,1
1295,.tube,generic,1
1296,.tui,generic,1
1297,.tunes,generic,1
1298,.tushu,generic,1
1299,.tv,country-code,1
1300,.tvs,generic,1
1301,.tw,country-code,1
1302,.tz,country-code,1
1303,.ua,country-code,1
1304,.ubank,generic,1
1305,.ubs,generic,1
1306,.uconnect,generic,1
1307,.ug,country-code,1
1308,.uk,country-code,1
1309,.um,country-code,1
1310,.unicom,generic,1
1311,.university,generic,1
1312,.uno,generic,1
1313,.uol,generic,1
1314,.ups,generic,1
1315,.us,country-code,1
1316,.uy,country-code,1
1317,.uz,country-code,1
1318,.va,country-code,1
1319,.vacations,generic,1
1320,.vana,generic,1
1321,.vanguard,generic,1
1322,.vc,country-code,1
1323,.ve,country-code,1
1324,.vegas,generic,1
1325,.ventures,generic,1
1326,.verisign,generic,1
1327,.versicherung,generic,1
1328,.vet,generic,1
1329,.vg,country-code,1
1330,.vi,country-code,1
1331,.viajes,generic,1
1332,.video,generic,1
1333,.vig,generic,1
1334,.viking,generic,1
1335,.villas,generic,1
1336,.vin,generic,1
1337,.vip,generic,1
1338,.virgin,generic,1
1339,.visa,generic,1
1340,.vision,generic,1
1341,.vista,generic,1
1342,.vistaprint,generic,1
1343,.viva,generic,1
1344,.vivo,generic,1
1345,.vlaanderen,generic,1
1346,.vn,country-code,1
1347,.vodka,generic,1
1348,.volkswagen,generic,1
1349,.volvo,generic,1
1350,.vote,generic,1
1351,.voting,generic,1
1352,.voto,generic,1
1353,.voyage,generic,1
1354,.vu,country-code,1
1355,.vuelos,generic,1
1356,.wales,generic,1
1357,.walmart,generic,1
1358,.walter,generic,1
1359,.wang,generic,1
1360,.wanggou,generic,1
1361,.warman,generic,1
1362,.watch,generic,1
1363,.watches,generic,1
1364,.weather,generic,1
1365,.weatherchannel,generic,1
1366,.webcam,generic,1
1367,.weber,generic,1
1368,.website,generic,1
1369,.wed,generic,1
1370,.wedding,generic,1
1371,.weibo,generic,1
1372,.weir,generic,1
1373,.wf,country-code,1
1374,.whoswho,generic,1
1375,.wien,generic,1
1376,.wiki,generic,1
1377,.williamhill,generic,1
1378,.win,generic,1
1379,.windows,generic,1
1380,.wine,generic,1
1381,.winners,generic,1
1382,.wme,generic,1
1383,.wolterskluwer,generic,1
1384,.woodside,generic,1
1385,.work,generic,1
1386,.works,generic,1
1387,.world,generic,1
1388,.wow,generic,1
1389,.ws,country-code,1
1390,.wtc,generic,1
1391,.wtf,generic,1
1392,.xbox,generic,1
1393,.xerox,generic,1
1394,.xfinity,generic,1
1395,.xihuan,generic,1
1396,.xin,generic,1
1397,.xperia,generic,1
1398,.xxx,sponsored,1
1399,.xyz,generic,1
1400,.yachts,generic,1
1401,.yahoo,generic,1
1402,.yamaxun,generic,1
1403,.yandex,generic,1
1404,.ye,country-code,1
1405,.yodobashi,generic,1
1406,.yoga,generic,1
1407,.yokohama,generic,1
1408,.you,generic,1
1409,.youtube,generic,1
1410,.yt,country-code,1
1411,.yun,generic,1
1412,.za,country-code,1
1413,.zappos,generic,1
1414,.zara,generic,1
1415,.zero,generic,1
1416,.zip,generic,1
1417,.zippo,generic,1
1418,.zm,country-code,1
1419,.zone,generic,1
1420,.zuerich,generic,1
1421,.zw,country-code,1
1422,.localhost,local-environment,1
