id,domain,type,user_id
272,.clothing,generic,1
273,.cloud,generic,1
274,.club,generic,1
275,.clubmed,generic,1
276,.cm,country-code,1
277,.cn,country-code,1
278,.co,country-code,1
279,.coach,generic,1
280,.codes,generic,1
281,.coffee,generic,1
282,.college,generic,1
283,.cologne,generic,1
284,.com,generic,1
285,.comcast,generic,1
286,.commbank,generic,1
287,.community,generic,1
288,.company,generic,1
289,.compare,generic,1
290,.computer,generic,1
291,.comsec,generic,1
292,.condos,generic,1
293,.construction,generic,1
294,.consulting,generic,1
295,.contact,generic,1
296,.contractors,generic,1
297,.cooking,generic,1
298,.cookingchannel,generic,1
299,.cool,generic,1
300,.coop,sponsored,1
301,.corsica,generic,1
302,.country,generic,1
303,.coupon,generic,1
304,.coupons,generic,1
305,.courses,generic,1
306,.cpa,generic,1
307,.cr,country-code,1
308,.credit,generic,1
309,.creditcard,generic,1
310,.creditunion,generic,1
311,.cricket,generic,1
312,.crown,generic,1
313,.crs,generic,1
314,.cruise,generic,1
315,.cruises,generic,1
316,.csc,generic,1
317,.cu,country-code,1
318,.cuisinella,generic,1
319,.cv,country-code,1
320,.cw,country-code,1
321,.cx,country-code,1
322,.cy,country-code,1
323,.cymru,generic,1
324,.cyou,generic,1
325,.cz,country-code,1
326,.dabur,generic,1
327,.dad,generic,1
328,.dance,generic,1
329,.data,generic,1
330,.date,generic,1
331,.dating,generic,1
332,.datsun,generic,1
333,.day,generic,1
334,.dclk,generic,1
335,.dds,generic,1
336,.de,country-code,1
337,.deal,generic,1
338,.dealer,generic,1
339,.deals,generic,1
340,.degree,generic,1
341,.delivery,generic,1
342,.dell,generic,1
343,.deloitte,generic,1
344,.delta,generic,1
345,.democrat,generic,1
346,.dental,generic,1
347,.dentist,generic,1
348,.desi,generic,1
349,.design,generic,1
350,.dev,generic,1
351,.dhl,generic,1
352,.diamonds,generic,1
353,.diet,generic,1
354,.digital,generic,1
355,.direct,generic,1
356,.directory,generic,1
357,.discount,generic,1
358,.discover,generic,1
359,.dish,generic,1
360,.diy,generic,1
361,.dj,country-code,1
362,.dk,country-code,1
363,.dm,country-code,1
364,.dnp,generic,1
365,.do,country-code,1
366,.docs,generic,1
367,.doctor,generic,1
368,.dodge,generic,1
369,.dog,generic,1
370,.doha,generic,1
371,.domains,generic,1
372,.doosan,generic,1
373,.dot,generic,1
374,.download,generic,1
375,.drive,generic,1
376,.dtv,generic,1
377,.dubai,generic,1
378,.duck,generic,1
379,.dunlop,generic,1
380,.duns,generic,1
381,.dupont,generic,1
382,.durban,generic,1
383,.dvag,generic,1
384,.dvr,generic,1
385,.dz,country-code,1
386,.earth,generic,1
387,.eat,generic,1
388,.ec,country-code,1
389,.eco,generic,1
390,.edeka,generic,1
391,.edu,sponsored,1
392,.education,generic,1
393,.ee,country-code,1
394,.eg,country-code,1
395,.eh,country-code,1
396,.email,generic,1
397,.emerck,generic,1
398,.energy,generic,1
399,.engineer,generic,1
400,.engineering,generic,1
401,.enterprises,generic,1
402,.epost,generic,1
403,.epson,generic,1
404,.equipment,generic,1
405,.er,country-code,1
406,.ericsson,generic,1
407,.erni,generic,1
408,.es,country-code,1
409,.esq,generic,1
410,.estate,generic,1
411,.esurance,generic,1
412,.et,country-code,1
413,.etisalat,generic,1
414,.eu,country-code,1
415,.eurovision,generic,1
416,.eus,generic,1
417,.events,generic,1
418,.everbank,generic,1
419,.exchange,generic,1
420,.expert,generic,1
421,.exposed,generic,1
422,.express,generic,1
423,.extraspace,generic,1
424,.fage,generic,1
425,.fail,generic,1
426,.fairwinds,generic,1
427,.faith,generic,1
428,.family,generic,1
429,.fan,generic,1
430,.fans,generic,1
431,.farm,generic,1
432,.farmers,generic,1
433,.fashion,generic,1
434,.fast,generic,1
435,.fedex,generic,1
436,.feedback,generic,1
437,.ferrari,generic,1
438,.ferrero,generic,1
439,.fi,country-code,1
440,.fiat,generic,1
441,.fidelity,generic,1
442,.fido,generic,1
443,.film,generic,1
444,.final,generic,1
445,.finance,generic,1
446,.financial,generic,1
447,.fire,generic,1
448,.firestone,generic,1
449,.firmdale,generic,1
450,.fish,generic,1
451,.fishing,generic,1
452,.fit,generic,1
453,.fitness,generic,1
454,.fj,country-code,1
455,.fk,country-code,1
456,.flickr,generic,1
457,.flights,generic,1
458,.flir,generic,1
459,.florist,generic,1
460,.flowers,generic,1
461,.flsmidth,generic,1
462,.fly,generic,1
463,.fm,country-code,1
464,.fo,country-code,1
465,.foo,generic,1
466,.food,generic,1
467,.foodnetwork,generic,1
468,.football,generic,1
469,.ford,generic,1
470,.forex,generic,1
471,.forsale,generic,1
472,.forum,generic,1
473,.foundation,generic,1
474,.fox,generic,1
475,.fr,country-code,1
476,.free,generic,1
477,.fresenius,generic,1
478,.frl,generic,1
479,.frogans,generic,1
480,.frontdoor,generic,1
481,.frontier,generic,1
482,.ftr,generic,1
483,.fujitsu,generic,1
484,.fujixerox,generic,1
485,.fun,generic,1
486,.fund,generic,1
487,.furniture,generic,1
488,.futbol,generic,1
489,.fyi,generic,1
490,.ga,country-code,1
491,.gal,generic,1
492,.gallery,generic,1
493,.gallo,generic,1
494,.gallup,generic,1
495,.game,generic,1
496,.games,generic,1
497,.gap,generic,1
498,.garden,generic,1
499,.gay,generic,1
500,.gb,country-code,1
501,.gbiz,generic,1
502,.gd,country-code,1
503,.gdn,generic,1
504,.ge,country-code,1
505,.gea,generic,1
506,.gent,generic,1
507,.genting,generic,1
508,.george,generic,1
509,.gf,country-code,1
510,.gg,country-code,1
511,.ggee,generic,1
512,.gh,country-code,1
513,.gi,country-code,1
514,.gift,generic,1
515,.gifts,generic,1
516,.gives,generic,1
517,.giving,generic,1
518,.gl,country-code,1
519,.glade,generic,1
520,.glass,generic,1
521,.gle,generic,1
522,.global,generic,1
523,.globo,generic,1
524,.gm,country-code,1
525,.gmail,generic,1
526,.gmbh,generic,1
527,.gmo,generic,1
528,.gmx,generic,1
529,.gn,country-code,1
530,.godaddy,generic,1
531,.gold,generic,1
532,.goldpoint,generic,1
533,.golf,generic,1
534,.goo,generic,1
535,.goodhands,generic,1
536,.goodyear,generic,1
537,.goog,generic,1
538,.google,generic,1
539,.gop,generic,1
540,.got,generic,1
541,.gov,sponsored,1
542,.gp,country-code,1
543,.gq,country-code,1
544,.gr,country-code,1
545,.grainger,generic,1
546,.graphics,generic,1
547,.gratis,generic,1
548,.green,generic,1
549,.gripe,generic,1
550,.grocery,generic,1
551,.group,generic,1
552,.gs,country-code,1
553,.gt,country-code,1
554,.gu,country-code,1
555,.guardian,generic,1
556,.gucci,generic,1
557,.guge,generic,1
558,.guide,generic,1
559,.guitars,generic,1
560,.guru,generic,1
561,.gw,country-code,1
562,.gy,country-code,1
563,.hair,generic,1
564,.hamburg,generic,1
565,.hangout,generic,1
566,.haus,generic,1
567,.hbo,generic,1
568,.hdfc,generic,1
569,.hdfcbank,generic,1
570,.health,generic,1
571,.healthcare,generic,1
572,.help,generic,1
573,.helsinki,generic,1
574,.here,generic,1
575,.hermes,generic,1
576,.hgtv,generic,1
